part_number, pdf, manufacturer, details_page
ad2428wccsz01,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2428WCCSZ01/505-AD2428WCCSZ01-ND/11642805,
pi6cb33202zdiex,https://www.diodes.com/assets/Datasheets/PI6CB33202.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33202ZDIEX/31-PI6CB33202ZDIEXTR-ND/11594252,
pi6cb33202zdiex,https://www.diodes.com/assets/Datasheets/PI6CB33202.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33202ZDIEX/31-PI6CB33202ZDIEXCT-ND/11594278,
pi6cb33202zdiex,https://www.diodes.com/assets/Datasheets/PI6CB33202.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33202ZDIEX/31-PI6CB33202ZDIEXDKR-ND/11594266,
pi6cb33802zliex,https://www.diodes.com/assets/Datasheets/PI6CB33802.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33802ZLIEX/31-PI6CB33802ZLIEXTR-ND/11591335,
pi6cb33802zliex,https://www.diodes.com/assets/Datasheets/PI6CB33802.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33802ZLIEX/31-PI6CB33802ZLIEXCT-ND/11591342,
pi6cb33802zliex,https://www.diodes.com/assets/Datasheets/PI6CB33802.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33802ZLIEX/31-PI6CB33802ZLIEXDKR-ND/11591347,
lmk1c1104pwr,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmk1c1104,texas-instruments,https://www.digikey.com/product-detail/en/texas-instruments/LMK1C1104PWR/296-LMK1C1104PWRTR-ND/11502298,
pi6cb33201zdiex,https://www.diodes.com/assets/Datasheets/PI6CB33201.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33201ZDIEX/31-PI6CB33201ZDIEXTR-ND/11594254,
pi6cb33201zdiex,https://www.diodes.com/assets/Datasheets/PI6CB33201.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33201ZDIEX/31-PI6CB33201ZDIEXCT-ND/11594265,
pi6cb33201zdiex,https://www.diodes.com/assets/Datasheets/PI6CB33201.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CB33201ZDIEX/31-PI6CB33201ZDIEXDKR-ND/11594280,
cy2pp326ai,https://4donline.ihs.com/images/VipMasterIC/IC/CYPR/CYPR-S-A0000205879/CYPR-S-A0000205879-1.pdf?hkey=EC6BD57738AE6E33B588C5F9AD3CEFA7,rochester-electronics-llc,https://www.digikey.com/product-detail/en/rochester-electronics-llc/CY2PP326AI/2156-CY2PP326AI-ND/12109833,
zl40264ldf1,http://ww1.microchip.com/downloads/en/DeviceDoc/ZL40264-Data-Sheet.pdf,microchip-technology,https://www.digikey.com/product-detail/en/microchip-technology/ZL40264LDF1/150-ZL40264LDF1TR-ND/12081897,
zl40264ldf1,http://ww1.microchip.com/downloads/en/DeviceDoc/ZL40264-Data-Sheet.pdf,microchip-technology,https://www.digikey.com/product-detail/en/microchip-technology/ZL40264LDF1/150-ZL40264LDF1CT-ND/12081998,
zl40264ldf1,http://ww1.microchip.com/downloads/en/DeviceDoc/ZL40264-Data-Sheet.pdf,microchip-technology,https://www.digikey.com/product-detail/en/microchip-technology/ZL40264LDF1/150-ZL40264LDF1DKR-ND/12081966,
zl40294ldg6,http://ww1.microchip.com/downloads/en/DeviceDoc/ZL40294%20%20Datasheet%20January%202020.pdf,microchip-technology,https://www.digikey.com/product-detail/en/microchip-technology/ZL40294LDG6/150-ZL40294LDG6-ND/11618263,
zl40295ldg6,http://ww1.microchip.com/downloads/en/DeviceDoc/ZL40295DatasheetDecember2019.pdf,microchip-technology,https://www.digikey.com/product-detail/en/microchip-technology/ZL40295LDG6/150-ZL40295LDG6-ND/11618292,
pi6cg33202czdiex,https://www.diodes.com/assets/Datasheets/PI6CG33202C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33202CZDIEX/31-PI6CG33202CZDIEXTR-ND/11616842,
pi6cg33202czdiex,https://www.diodes.com/assets/Datasheets/PI6CG33202C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33202CZDIEX/31-PI6CG33202CZDIEXCT-ND/11616849,
pi6cg33202czdiex,https://www.diodes.com/assets/Datasheets/PI6CG33202C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33202CZDIEX/31-PI6CG33202CZDIEXDKR-ND/11616848,
pi6cg33402zhiex,https://www.diodes.com/assets/Datasheets/PI6CG33402.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33402ZHIEX/31-PI6CG33402ZHIEXTR-ND/11611281,
pi6cg33402zhiex,https://www.diodes.com/assets/Datasheets/PI6CG33402.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33402ZHIEX/31-PI6CG33402ZHIEXCT-ND/11611274,
pi6cg33402zhiex,https://www.diodes.com/assets/Datasheets/PI6CG33402.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33402ZHIEX/31-PI6CG33402ZHIEXDKR-ND/11611276,
pi6cg33401czhiex,https://www.diodes.com/assets/Datasheets/PI6CG33401C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33401CZHIEX/31-PI6CG33401CZHIEXTR-ND/11611264,
pi6cg33401czhiex,https://www.diodes.com/assets/Datasheets/PI6CG33401C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33401CZHIEX/31-PI6CG33401CZHIEXCT-ND/11611277,
pi6cg33401czhiex,https://www.diodes.com/assets/Datasheets/PI6CG33401C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33401CZHIEX/31-PI6CG33401CZHIEXDKR-ND/11611278,
pi6cg33402czhiex,https://www.diodes.com/assets/Datasheets/PI6CG33402C.pdf,diodes-incorporated,https://www.digikey.com/product-detail/en/diodes-incorporated/PI6CG33402CZHIEX/31-PI6CG33402CZHIEXTR-ND/11611272,
